objectid,filename,parentid,display_template,display_order,title,creator,date,description,language,format,type,subtype,subject,historical_context,reception_form,depicted,source,identifier,rights,rightstatement,location,city,country,latitude,longitude,object_location,image_small,image_thumb,image_alt_text,relation,database_record,url,iiif
obj0001,,,pdf,,Fuenteovejuna / de don Christoval de Monroy,"Monroy y Silva, Cristóbal de",1600,Edición digital a partir de la edición del siglo XVII conservada en la Biblioteca Menéndez Pelayo de Santander,spa,application/pdf,Edición impresa,,,Siglo de Oro,Teatro,,Biblioteca Virtual Miguel de Cervantes; Biblioteca de Menéndez Pelayo,Sig. 33984-01,,,,,,,,https://www.cervantesvirtual.com/portadas/029/0290381/Cover.jpg,https://www.cervantesvirtual.com/portadas/029/0290381/Cover.jpg,https://www.cervantesvirtual.com/portadas/029/0290381/Cover.jpg,,,,https://www.cervantesvirtual.com/nd/ark:/59851/bmccr6f4,https://iiif.europeana.eu/presentation/122/https___www_searchculture_gr_aggregator_edm_ELIA_000100_29_331922/manifest.json
obj0002,,,compound_object,,Programa de mano: Fuenteovejuna (Ελληνικό Λαϊκό Θέατρο),Teatro Popular de Manos Katraki (Θίασος Κατράκη Μάνου),1959-06-25,Programa de mano de la producción teatral de Fuenteovejuna por la Compañía de Manos Katraki en el Teatro Popular Griego de Atenas ubicado en el parque Alsos Areos. Dirección: Takis Mouzenidis (Τάκης Μουζενίδης); traducción al griego: Nikos Gatsos (Νίκος Γκάτσος); música: Alekos Xenos (Αλέκος Ξένος); escenografía y vestuario: Giorgos Vakalo (Γιώργος Βακαλό); coreografía: Giannis Flery (Γιάννης Φλερύ). Temporada de verano 1959.,gre,compound_object,Programa de mano,Programa de sala,,Siglo XX; Posguerra griega,Teatro; Profesional,,Archivo Literario e Histórico Helénico (ΕΛΙΑ),THP.64.35,CC BY,https://creativecommons.org/licenses/by/4.0/,Elliniko Laiko Theatro - Alsos Areos (Ελληνικό Λαϊκό Θέατρο - Άλσος Άρεως),Atenas,Grecia,37.9908,23.7383,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,Programa de mano de Fuenteovejuna en griego Teatro Popular Griego Atenas 1959,,,http://eliaserver.elia.org.gr/lselia/rec.aspx?id=331922,https://iiif.europeana.eu/presentation/122/https___www_searchculture_gr_aggregator_edm_ELIA_000100_29_331922/manifest.json
obj0003,,obj0002,image,1,Portada,,1959-06-25,Portada del programa,,image/jpeg,Programa de mano,,,,,,,THP.64.35 (01),,,,,,,,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,https://digilib.gr:8080/LSelia/images_View/THP.64.35.JPG,Programa de mano de Fuenteovejuna en griego Teatro Popular Griego Atenas 1959,,,,
obj0004,,obj0002,image,2,Página de créditos,,1959-06-25,Página interior con información del teatro y créditos completos.,,image/jpeg,Programa de mano,,,,,,,THP.64.35 (02),,,,,,,,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(02).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(02).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(02).jpg,Programa de mano de Fuenteovejuna en griego Teatro Popular Griego Atenas 1959,,,,
obj0005,,obj0002,image,3,Reparto - parte 1,,1959-06-25,Primera parte del programa: lista del reparto principal (Μέρος Πρώτον) con ocho fotografías circulares de actores incluyendo Rika Galani (Ρίκα Γαλάνη) Antigoni Valakou (Αντιγόνη Βαλάκου) Alika Gitsi (Αλίκα Γκίτση). Incluye texto descriptivo de la obra y anuncios comerciales.,,image/jpeg,Programa de mano,,,,,,,THP.64.35 (03),,,,,,,,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(03).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(03).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(03).jpg,Programa de mano de Fuenteovejuna en griego Teatro Popular Griego Atenas 1959,,,,
obj0006,,obj0002,image,4,Reparto - parte 2,,1959-06-25,Segunda parte del programa (Μέρος Δεύτερο): lista del reparto secundario y equipo técnico. Incluye roles de Inquisidor (Ανδακρίτης) soldados y campesinos interpretados por Georgios Dimas (Γεώργιος Δήμας). Continúa con ocho fotografías circulares del elenco y anuncios publicitarios.,,image/jpeg,Programa de mano,,,,,,,THP.64.35 (04),,,,,,,,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(04).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(04).jpg,https://digilib.gr:8080/LSelia/images_View/THP.64.35%20(04).jpg,Programa de mano de Fuenteovejuna en griego Teatro Popular Griego Atenas 1959,,,,
obj0007,,,image,,Diseño de vestuario para el personaje de Alcalde,"Caballero, José",12/10/1944,"Diseño de vestuario para el personaje de ""Alcalde"" para la producción de 1944 del Teatro Español, dirigida por Cayetano Luca de Tena siguiendo la versión de Ernesto Giménez Caballero.",spa,image/png,Ilustración,Figurín,,Siglo XX; Franquismo,Teatro,Esteban (Alcalde),Museo Nacional del Teatro ,F01965,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Teatro Español,Madrid,España,,,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFF01965_S.JPG,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFF01965_S.JPG,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fceres.mcu.es%2Fpages%2FViewer%3Fraw%3Dy%26accion%3D42%26AMuseo%3DMNT%26img%3D%2FMNT%2Ffondos_pre%2FMNTFF01965_P.JPG%26Ninv%3DF01965&type=IMAGE,"Diseño de vestuario para el personaje de ""Alcalde"" ",,,http://ceres.mcu.es/pages/Main?idt=134278&inventary=F01965&table=FMUS&museum=MNT,
obj0008,,,image,,Diseño de escenografía. Estandartes de los Reyes Católicos: Coronas de Castilla y Aragón,"Coso Marín, Miguel Ángel ",1992,Diseño de escenogafía del los estandartes de los Reyes Católicos para la producción de Fuenteovejuna de 1992 dirigida por María Paz Ballesteros,spa,image/jpeg,Ilustración,Diseño de escenografía,,Siglo XX,Teatro,,Museo Nacional del Teatro ,ES02152,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Fuente Obejuna,Fuente Obejuna,España,,,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFES02152_S.JPG,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFES02152_S.JPG,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fceres.mcu.es%2Fpages%2FViewer%3Fraw%3Dy%26accion%3D42%26AMuseo%3DMNT%26img%3D%2FMNT%2Ffondos_pre%2FMNTFES02152_P.JPG%26Ninv%3DES02152&type=TEXT,,,,http://ceres.mcu.es/pages/Main?idt=132009&inventary=ES02152&table=FMUS&museum=MNT,
obj0009,,,image,,Diseño de vestuario para los personajes de Labradores,"Moreno, Pedro ",1994,Diseño de vestuario para los personajes de Labradores para el ballet de Antonio Gades,spa,image/jpeg,Ilustración,Figurín,,Siglo XX,Teatro,Labradores,Museo Nacional del Teatro ,F09368,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Teatro Carlo Felice,Madrid,España,,,http://ceres.mcu.es/pages/Viewer?raw=y&accion=42&AMuseo=MNT&img=/MNT/fondos_pre/MNTFF09368_P.JPG,http://ceres.mcu.es/pages/Viewer?raw=y&accion=42&AMuseo=MNT&img=/MNT/fondos_pre/MNTFF09368_P.JPG,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fceres.mcu.es%2Fpages%2FViewer%3Fraw%3Dy%26accion%3D42%26AMuseo%3DMNT%26img%3D%2FMNT%2Ffondos_pre%2FMNTFF09368_P.JPG%26Ninv%3DF09368&type=TEXT,,,,http://ceres.mcu.es/pages/Main?idt=169229&inventary=F09368&table=FMUS&museum=MNT,
obj0010,,,image,,Diseño de escenografía: carros de Fuenteovejuna,"Cortezo, Víctor María",1962,Diseño de escenografía de los carros para la producción de 1962 dirigida por José Tamayo,spa,image/jpeg,Ilustración,Diseño de escenografía,,Siglo XX; Franquismo,Teatro,,Museo Nacional del Teatro ,ES01421,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Teatro Español,Madrid,España,,,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFES01421_S.JPG,https://ceres.mcu.es/pages/Viewer?img=/MNT/fondos_sello/MNTFES01421_S.JPG,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fceres.mcu.es%2Fpages%2FViewer%3Fraw%3Dy%26accion%3D42%26AMuseo%3DMNT%26img%3D%2FMNT%2Ffondos_pre%2FMNTFES01421_P.JPG%26Ninv%3DES01421&type=TEXT,,,,https://ceres.mcu.es/pages/Main?idt=131278&inventary=ES01421&table=FMUS&museum=MNT,
